date,symbol,side,order_place_time,order_type,order_price,fill_time,entry_price,ref_low_24h,ref_high_24h,ref_mid_24h,stop,take_profit,exit_time,exit_price,exit_reason,pnl,equity_after
2024-12-31,XAUUSD,LONG,2024-12-31 04:30:00+00:00,MARKET,2605.098,2024-12-31 04:30:00+00:00,2605.098,2595.905,2624.515,2610.21,2595.905,2632.676999999999,2024-12-31 16:00:00+00:00,2623.814,FORCE_EXIT,18.715999999999894,118.7159999999999
2025-01-03,XAUUSD,LONG,2025-01-03 04:30:00+00:00,LIMIT,2648.0215,2025-01-03 13:20:00+00:00,2648.0215,2630.858,2665.185,2648.0215,2630.858,2699.511999999999,2025-01-03 16:00:00+00:00,2646.548,FORCE_EXIT,-1.4735000000000582,117.24249999999984
2025-01-06,XAUUSD,SHORT,2025-01-06 04:30:00+00:00,LIMIT,2641.11,2025-01-06 11:20:00+00:00,2641.11,2634.945,2647.275,2641.11,2647.275,2622.6150000000002,2025-01-06 11:30:00+00:00,2647.275,STOP,-6.164999999999964,111.07749999999987
2025-01-07,XAUUSD,SHORT,2025-01-07 04:30:00+00:00,MARKET,2637.774,2025-01-07 04:30:00+00:00,2637.774,2614.365,2649.305,2631.835,2649.305,2603.181,2025-01-07 12:05:00+00:00,2649.305,STOP,-11.530999999999949,99.54649999999992
2025-01-08,XAUUSD,SHORT,2025-01-08 04:30:00+00:00,LIMIT,2650.4764999999998,2025-01-08 05:45:00+00:00,2650.4764999999998,2636.855,2664.098,2650.4764999999998,2664.098,2609.611999999999,2025-01-08 14:10:00+00:00,2664.098,STOP,-13.621500000000196,85.92499999999973
2025-01-09,XAUUSD,LONG,2025-01-09 04:30:00+00:00,MARKET,2656.675,2025-01-09 04:30:00+00:00,2656.675,2645.095,2669.844,2657.4695,2645.095,2691.4150000000013,2025-01-09 16:00:00+00:00,2668.455,FORCE_EXIT,11.779999999999745,97.70499999999947
2025-01-10,XAUUSD,LONG,2025-01-10 04:30:00+00:00,LIMIT,2666.85,2025-01-10 13:30:00+00:00,2666.85,2655.305,2678.395,2666.85,2655.305,2701.485,2025-01-10 16:00:00+00:00,2688.688,FORCE_EXIT,21.838000000000193,119.54299999999967
2025-01-13,XAUUSD,LONG,2025-01-13 04:30:00+00:00,LIMIT,2686.1949999999997,2025-01-13 04:30:00+00:00,2686.1949999999997,2679.145,2693.245,2686.1949999999997,2679.145,2707.344999999999,2025-01-13 10:00:00+00:00,2679.145,STOP,-7.049999999999727,112.49299999999994
2025-01-14,XAUUSD,LONG,2025-01-14 04:30:00+00:00,MARKET,2669.715,2025-01-14 04:30:00+00:00,2669.715,2656.615,2691.235,2673.925,2656.615,2709.0150000000012,2025-01-14 16:00:00+00:00,2671.475,FORCE_EXIT,1.7599999999997635,114.2529999999997
2025-01-15,XAUUSD,SHORT,2025-01-15 04:30:00+00:00,MARKET,2675.298,2025-01-15 04:30:00+00:00,2675.298,2659.645,2679.198,2669.4215,2679.198,2663.5979999999995,2025-01-15 06:00:00+00:00,2679.198,STOP,-3.900000000000091,110.35299999999961
2025-01-17,XAUUSD,LONG,2025-01-17 04:30:00+00:00,LIMIT,2707.145,2025-01-17 09:25:00+00:00,2707.145,2689.725,2724.565,2707.145,2689.725,2759.405,2025-01-17 16:00:00+00:00,2715.525,FORCE_EXIT,8.38000000000011,118.73299999999972
2025-01-20,XAUUSD,SHORT,2025-01-20 04:30:00+00:00,MARKET,2702.645,2025-01-20 04:30:00+00:00,2702.645,2689.308,2704.355,2696.8315000000002,2704.355,2697.515,2025-01-20 04:35:00+00:00,2704.355,STOP,-1.7100000000000364,117.02299999999968
2025-01-21,XAUUSD,SHORT,2025-01-21 04:30:00+00:00,MARKET,2726.839,2025-01-21 04:30:00+00:00,2726.839,2701.498,2726.895,2714.1965,2726.895,2726.671,2025-01-21 04:30:00+00:00,2726.895,STOP,-0.05600000000004002,116.96699999999964
